2022-07-03 21:07:700 INFO  HomePage :26 - Clicking on wales  [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='radio-wales']]
2022-07-03 21:07:375 INFO  HomePage :31 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
2022-07-03 21:07:383 INFO  HomePage :31 - Enter date 1 to date field 1
2022-07-03 21:07:475 INFO  HomePage :36 - Enter month 02 to Month field [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='dob-month']]
2022-07-03 21:07:559 INFO  HomePage :41 - Enter Year 2000 to Year  field [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='dob-year']]
2022-07-03 21:07:279 INFO  HomePage :47 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
2022-07-03 21:07:373 INFO  HomePage :28 - Clicking on my yes [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='radio-yes']]
2022-07-03 21:07:836 INFO  HomePage :33 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
2022-07-03 21:07:359 INFO  HomePage :33 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
2022-07-03 21:07:426 INFO  HomePage :27 - Clicking on no [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='radio-no']]
2022-07-03 21:07:934 INFO  HomePage :31 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
2022-07-03 21:07:05 INFO  HomePage :28 - Clicking on no [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='radio-no']]
2022-07-03 21:07:574 INFO  HomePage :32 - Clicking on next [[ChromeDriver: chrome on WINDOWS (611fa177a31b86a91f75bf74a40ce234)] -> xpath: //input[@id='next-button']]
